tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,tag13,tag14,tag15,tag16,tag17,tag18,tag19,tag20,tag21,tag22,tag23,tag24,tag25,tag26,tag27,tag28,tag29,tag30,tag31,tag32,tag33,tag34,tag35,tag36,tag37,tag38,tag39,tag40,tag41,tag42,tag43,tag44,tag45,tag46,sentence_quality,sentence_score
'DT','NN','VBD','PRP$','NN','RB','.',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0
'PRP','VBD','VBN','TO','VB','DT','NN','IN','NNP',"','",'NNP','NNP','NNP','NNP',"','",'DT','NN','TO','VB','IN','JJ','NNS','IN','DT','JJ','NN','CC','RB','NN','PRP$','NNS','.',,,,,,,,,,,,,,,-1,0
'RB','VBD','PRP','VBP','IN','DT','NN','MD','VB','JJ','IN','RB','.',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0
'NNP',"','",'DT','NN','NN',"','",'VBZ','DT','JJ','NN','NN','NN','IN','NNP','IN','NNS','IN','DT','NNP','NNPS','CC','NNP','.',,,,,,,,,,,,,,,,,,,,,,,,-1,0
'DT','NNS','VBP','RB','VBN','IN','IN','DT','JJ','NN','CC','DT','JJ','JJ','NNS','IN','VBG','IN','NNP','.',,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0
'IN','CD','VBN','JJ','NNS','VBP','TO','NNP','TO','VB','IN','PRP$','JJ','NN','.',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0
'IN','CD','IN','DT','NNS',"','",'PRP','VBD','DT','NN','CC','JJ','NN','IN','VBG','PRP','TO','DT','NN','IN','PRP$','NN','CC','NN','.',,,,,,,,,,,,,,,,,,,,,,-1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0
'PRP','VBP','DT','NN','CC','NN','IN','PRP','VBD','IN','PRP','VBD','DT','NN','IN','NN','JJ','JJ','NN','NNS',"','",'VBG','IN','PRP$','NN','NN','NN',"','",'VBG','IN','PRP','VBD','RB','VBN','.',,,,,,,,,,,,-1,0
'DT','NN','DT','NNS','IN','NNS','VBN',"','",'PRP','VBD','PRP','TO','DT','NN','IN','NNS','CC','VBD','VBG','CC','VBG','IN','PRP','.',,,,,,,,,,,,,,,,,,,,,,,-1,0
'IN','PRP$','JJ','NNS',"','",'PRP','VBD','TO','NN','DT','NN','.',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0
'PRP$','NN','VBD','IN','DT','IN','DT','NN','TO','DT','IN','DT','JJ','NN','.',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0
'RB','RB','VBD','PRP','RB','TO','VB','PRP','IN','NNP','IN','NNS','CC','NNS',"','",'CC','RBR','RB','PRP','VBD','VBG','IN','DT','NN','NN','.',,,,,,,,,,,,,,,,,,,,,-1,0
'IN','DT','NN','IN','NNP','NNS',"','",'PRP','VBD','DT','JJ','NNPS','PRP','VBD','RB','VBN','CC',"','",'RB',"','",'VBD','VBN','RB','CC','RB','VBN','.',,,,,,,,,,,,,,,,,,,,-1,0
'DT','NN','NN','VBD','PRP','VBP','RB','JJ','IN','JJ','.',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0
'RB',"','",'PRP$','NN','TO','VB','RB','VBN','DT','NN','IN','DT','WDT','PRP','VBD','PRP','.',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0
'PRP','VBD','TO','VB','.',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0
'IN','DT','NN','NN','NN','NN','IN','DT','NNS','CC','PRP',"','",'PRP','VBD','TO','VB','IN','NNS',"','",'VBP','NNS',"','",'NNS',"','",'CC','VBN','JJ','CC','JJ','.',,,,,,,,,,,,,,,,,-1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0
'IN','DT','NN','IN','DT','NN','WDT','VBD','DT','DT','NNP','CC','NNP',"','",'PRP','VBD','NNP','TO','DT','NN','IN','NN','NNS','WP','VBD','RB','IN','VBN','VBN','TO','NNP','.',,,,,,,,,,,,,,,-1,0
'NNP',"','",'DT','JJ','JJ','NN','RB','VBD','TO','DT','JJ','IN','DT','NN','.',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0
'IN','NN','TO','DT','NN','NNS','IN','JJ','NN',"','",'PRP','VBD','VBN','TO','VB','DT','NNS','.',,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0
'IN','RB','IN','NN','IN','DT','NN','CC','NN',"','",'PRP','CC','PRP','MD','VB','NN','NNP','CC','PRP','VBD',"','",'IN','NN','NNS',"','",'NNS','IN','NNP','JJ','IN','JJ','NN','.',,,,,,,,,,,,,,-1,0
'PRP','VBD','IN','NNP','IN','PRP','VBD','DT','JJS','NN',"','",'CD','WDT','VBN','RB','RB','IN','VBG',"','",'IN','PRP','VBD','RB','DT','JJ','NN','IN','NNP',"','",'CC','RB','IN','NN','PRP$','NN','IN','NNS','.',,,,,,,,,-1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0
'DT','JJ','NNS','IN','DT','NN','IN','NN',"','",'IN','VBN','JJ',"','",'NNP','VBD','IN','PRP','VBD','VBN','VBG','RB','IN','DT','NN','IN','PRP','.',,,,,,,,,,,,,,,,,,,,-1,0
'RB','PRP','VBD','VBN','VBG','TO','VB','IN','NN','IN','PRP','MD','VB','PRP','.',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0
'IN','NNS','IN','VBG',"','",'PRP','VBD','TO','VB','NNP','WP','VBD','JJS','JJ','TO','PRP',"','",'PRP$','NN',':','NN','NN',':',"','",'WDT','PRP','VBD','VBN','IN','NN','JJ','NN','.',,,,,,,,,,,,,,-1,0
'PRP','VBD','PRP','VBP','TO','VB','PRP','IN','PRP$','JJ','JJ','NN','NN','.',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0
'IN','NNS','PRP','VBD','CC','VBN','DT','JJ','NNS','CC','IN','DT','JJ','NN','IN','NN',"','",'IN','DT','NNS','VBN',"','",'PRP','VBD','NNS','.',,,,,,,,,,,,,,,,,,,,,-1,0
